Site,Date,Waypoint,Species,Height,N.flowers,Time,NN,NN.id,dist.lar,LT,AS,EC,SD,SM,SC,PP,HH,EL,LOTUS,BW
low,4.21.2018,1,PP,20,5,,450,AS,2330,,,,,,,,,,,
low,4.21.2018,2,PP,19,11,,1110,HH,1220,,,,,,,,,,,
,4.21.2018,2,PP,20,5,11:35,250,AS,1220,,,,,,,,,,,
low,4.21.2018,3,LT,185,45,,95,LT,95,1,,,,,,,1,,,
low,4.21.2018,4,HH,25,2,,275,LT,275,,,,,,,,,,,
low,4.21.2018,5,LT,175,72,,160,LT,160,2,,,,,,,,,,
low,4.21.2018,6,LT,125,73,11:34,130,LT,130,1,2,,,,,,,,,
low,4.21.2018,7,AS,49,4,11:48,55,AS,810,,,,,,,,,,,
low,4.21.2018,8,AS,39,9,12:08,575,EC,725,,,,,,,,,,,
low,4.21.2018,9,PP,24,2,12:20,30,PP,560,,,1,,,,1,,,,
low,4.21.2018,10,EC,46,264,12:38,270,EC,690,,,1,,,,,,,,
low,4.21.2018,11,EC,55,135,1:09,150,EC,630,,,4,,,,,,,,
low,4.21.2018,12,EC,57,185,,120,EC,390,,1,3,,,,,,,,
low,4.21.2018,13,LT,275,131,,100,LT,100,1,,3,,,,,,,,
low,4.21.2018,14,AS,35,4,2:09,200,AS,970,,1,,,,,,,,,
low,4.21.2018,15,PP,18,2,2:38,310,EL,1240,,,,,,,,,,,
up,4.21.2018,16,SD,38,12,3:04,68,SD,5780,,,,1,,,,,,,
up,4.21.2018,17,PP,29,2,,600,EC,17165,,,,,,,,,,,
up,4.21.2018,18,PP,28,3,3:37,1810,PP,20880,,,,,,,,,,,
up,4.21.2018,19,EL,75,24,3:59,595,PP,38845,,,,,,,,,,,
up,4.22.2018,20,EL,68,27,4:16,145,EC,38845,,,,,,,,,3,,
up,4.22.2018,21,PP,22,1,9:01,100,PP,20880,,,,,,,1,,,,
up,4.22.2018,22,AS,56,82,9:16,965,PP,missing,,,,,,,,,,,
up,4.22.2018,23,EC,45,180,,230,EC,15090,,,1,,,,,,,,
up,4.22.2018,24,PP,30,2,9:55,495,SD,15500,,,,,,,,,,,
low,4.22.2018,25,SD,50,29,10:18,285,SD,520,,,,1,,,,,,,
low,4.22.2018,26,AS,54,56,10:35,245,AS,1100,,2,,,,,,,,,
low,4.22.2018,27,PP,32,3,10:50,170,AS,2430,,2,,,,,,,,,
low,4.22.2018,28,EL,56,117,11:04,160,AS,2570,,2,,,,,,,,,
low,4.22.2018,29,AS,49,29,11:19,690,AS,2250,,1,,,,,,,,,
low,4.22.2018,30,LT,165,46,11:33,80,LT,80,2,,,,,,,,,,
low,4.22.2018,31,PP,28,7,11:57,230,AS,570,,4,,,,,,,,,
low,4.22.2018,32,AS,4,9,12:10,40,AS,680,,4,,,,,,,,,
low,4.22.2018,33,LT,290,120,12:25,75,LT,75,1,,,,,,,,,,
low,4.22.2018,34,EC,39,38,12:47,90,AS,450,,1,,,,,,,,,
low,4.22.2018,35,LT,155,44,12:58,160,AS,685,,1,,,,,,,,,
low,4.22.2018,36,EC,47,20,1:28,200,AS,990,,1,1,,,,,,,,
low,4.22.2018,37,AS,40,12,1:39,200,EC,1180,,,1,,,,,,,,
low,4.22.2018,38,LT,200,91,1:52,95,LT,95,2,,,,,,,,,,
low,4.22.2018,39,AS,37,5,2:07,96,AS,135,1,2,,,,,,,,,
low,4.22.2018,40,LT,190,76,2:19,0,AS,365,1,2,,,,,,,,,
low,4.22.2018,41,EC,55,105,2:34,170,EC,595,,,1,,,,,,,,
low,4.22.2018,42,EC,30,70,2:56,300,LT,300,1,,,,,,,,,,
low,4.22.2018,43,EC,46,112,3:08,290,EC,590,,,3,,,,,,,,
LOW,4.22.2018,44,AS,60,16,3:35,360,EC,490,,,,,,,,,,,
UP,4.22.2018,45,EC,59,64,3:57,105,SD,11050,,,,1,2,,,,,,
UP,4.22.2018,46,SM,60,46,4:08,430,EC,11170,,,,,,,,,,,
UP,4.23.2018,47,AS,57,90,9:23,870,PP,19825,,,,,,,,,,,
UP,4.23.2018,48,SD,54,11,9:52,52,SD,8200,,,,8,,,,,,,
UP,4.23.2018,49,SD,60,12,10:01,20,SD,missing,,,,2,,,,,,,
UP,4.23.2018,50,SM,70,24,10:16,35,SM,5560,,,,3,5,,,,,,
UP,4.23.2018,51,SM,64,19,10:31,35,SM,5350,,,,2,,,,,,,
UP,4.23.2018,52,SD,83,97,10:43,115,SD,4690,,,,3,4,,,,,,
,4.23.2018,53,PP,34,3,11:03,5,SM,missing,,,,,2,,,,,1,
low,4.23.2018,54,AS,52,49,11:15,166,AS,1010,,3,,,,,,,,,
low,4.23.2018,55,PP,23,1,11:51,200,LT,200,,,,,,,,,,,
low,4.23.2018,56,AS,62,33,12:07,20,AS,980,,3,,,,,,,,,
low,4.23.2018,57,LT,250,94,12:20,470,AS,,,,,,,,,,,,
low,4.23.2018,58,LT,160,53,12:33,340,AS,810,,,,,,,,,,,
low,4.23.2018,59,EC,40,103,1:11,290,LT,290,1,,,,,,,,,,
low,4.23.2018,60,AS,42,9,1:22,415,EC,750,,,,,,,,,,,
low,4.23.2018,61,LT,170,90,1:42,570,LT,570,,,,,,,,,,,
low,4.23.2018,62,LT,150,55,1:53,410,LT,410,,,,,,,,,,,
low,4.23.2018,63,X,47,4,2:11,155,LT,155,2,,,,,,,,,,
low,4.23.2018,64,AS,43,27,2:22,60,LT,60,1,,,,,,,,,,
low,4.23.2018,65,EC,48,175,2:40,550,LT,550,,,,,,,,,,,
low,4.23.2018,66,EC,44,84,2:52,120,EC,170,1,,3,,,,,,,,
low,4.23.2018,67,EC,39,120,3:06,230,EC,860,,,1,,,,,,,,
low,4.23.2018,68,LT,105,20,3:21,180,EC,580,,,1,,,,,,,,
UP,4.23.2018,69,SM,60,11,3:57,115,SM,31260,,,,,2,,1,,,,
UP,4.24.2018,70,PP,29,25,8:59,160,SM,31315,,,,,3,,,,,,
UP,4.24.2018,71,AS,67,75,9:17,80,SM,36770,,2,,,1,,,,,,
UP,4.24.2018,72,PP,19,5,9:31,55,SM,36290,,,,,2,,,,,,
UP,4.24.2018,73,AS,60,34,9:43,130,AS,37060,,1,,,,,,,,,
UP,4.24.2018,74,PP,35,16,9:58,160,AS,35400,,1,,,,,,,,,
UP,4.24.2018,75,S,72,24,10:12,240,SM,28755,,,,,2,,,,,,
UP,4.24.2018,76,SD,55,30,10:34,210,SD,5350,,,,1,,,,,,,
,4.24.2018,77,PP,19,1,10:51,0,AS,980,,3,,,,,,,,,
,4.24.2018,78,AS,30,25,11:07,0,PP,980,,2,,,,,1,,,,
,4.24.2018,79,AS,58,83,11:24,,,,,,,,,,,,,,
,4.24.2018,80,PP,23,1,11:39,90,AS,1190,,5,,,,,,,,,
,4.24.2018,81,SM,100,21,,75,AS,420,,2,,,,,,,,,
,4.24.2018,82,LT,220,233,12:33,50,AS,530,,2,,,,,,,,,
,4.24.2018,83,AS,45,32,12:33,60,AS,620,,2,,,,,,,,,
,4.24.2018,84,AS,55,13,12:51,60,AS,525,,3,,,,,,,,,
,4.24.2018,85,LT,245,127,1:13,830,LT,830,,5,,,,,,,,,
,4.24.2018,86,LT,115,135,,80,AS,1050,,3,,,,,,,,,
,4.24.2018,87,SC,70,12,1:53,230,AS,1780,,1,,,,,,,,,
,4.24.2018,88,SC,70,9,2:20,230,AS,2500,,2,,,,,,,,,
,4.24.2018,89,AS,50,21,2:36,240,SC,640,,2,,,,1,,,,,
,4.24.2018,90,EC,50,360,2:55,220,EC,1550,,,8,,,,,,,,
,4.24.2018,91,EC,55,175,,160,EC,260,1,1,2,,,,,,,,
,4.24.2018,92,LT,270,98,3:31,260,EC,910,,,3,,,,,,,,
,4.24.2018,93,SC,57,17,3:51,190,SM,2000,,,1,,1,,,,,,
,4.24.2018,94,EC,60,275,,200,EC,1030,,,1,,,,,,,,
,4.24.2018,95,PP,20,10,,0,LT,0,0,,1,,,,,,,,
,4.24.2018,96,LT,170,102,,0,PP,90,2,,1,,,,1,,,,
,4.25.2018,97,PP,22,4,9:30,300,AS,1600,,1,,,,,,,,,
,4.25.2018,98,AS,64,17,9:43,300,PP,1390,,,,,,,1,,,,
,4.25.2018,99,PP,24,2,9:57,58,AS,2310,,5,,,,,,,,,
,4.25.2018,100,AS,38,6,9:57,88,PP,2400,,3,,,,,1,,,,
,4.25.2018,101,LT,285,146,,170,PP,650,,1,,,,,1,,,,
,4.25.2018,102,PP,19,2,10:32,90,AS,150,1,1,,,,,,,,,
,4.25.2018,103,AS,65,53,10:58,30,AS,440,,4,,,,,,,,,
,4.25.2018,104,EC,32,28,11:28,330,EC,880,,,,,,,,,,,
,4.25.2018,105,LT,136,36,11:42,180,LT,180,2,,,,,,,,,,
,4.25.2018,106,EC,38,200,,370,LT,370,,,,,,,,,,,
,4.25.2018,107,EC,35,34,12:13,230,EC,245,1,,2,,,,,,,,
,4.25.2018,108,AS,140,31,12:31,140,AS,180,,1,,,,,,,,,
,4.25.2018,109,LT,200,151,12:56,120,LT,120,1,,,,,,,,,,
,4.25.2018,110,EC,58,150,1:13,250,LT,250,,,3,,,,,,,,
,4.25.2018,111,EC,56,109,1:33,810,LT,810,,,,,,,,,,,
,4.25.2018,112,SC,55,3,1:50,520,AS,680,,,,,,,,,,,
,4.25.2018,113,AS,52,49,,530,LT,530,,1,,,,,,,,,
,4.25.2018,114,SC,39,3,2:30,190,LT,190,1,2,,,,,,,,,
,4.25.2018,115,SC,46,3,2:42,110,SM,610,,,,1,1,,,,,,
UP,4.25.2018,116,SD,39,41,3:17,50,SD,6740,,,,2,,,,,,,
UP,4.25.2018,117,SM,70,42,3:34,80,SM,5005,,,,,1,,,,2,,
,4.25.2018,118,LT,195,130,3:47,1470,LT,1470,,,,,,,,,,,
,4.25.2018,119,SC,46,7,4:01,50,AS,1800,,2,,,,,,,,,
,4.25.2018,120,AS,35,16,4:21,160,LT,160,1,,,,,,,,,,
,4.26.2018,121,PP,18,2,9:09,245,LT,245,2,,,,1,,,,,,
,4.26.2018,122,PP,27,2,9:24,140,AS,390,,2,,,,,1,,,,
,4.26.2018,123,AS,50,71,9:47,125,AS,730,,1,,,,,1,,,,
,4.26.2018,124,PP,28,3,10:05,300,LT,560,,2,,,,,,,,,
,4.26.2018,125,SC,52,3,10:21,50,AS,1000,,1,,,,,,,,,
,4.26.2018,126,SC,42,7,10:41,800,AS,800,,1,,,,,,,,,
,4.26.2018,127,LT,190,156,11:02,30,AS,630,,1,,,,,,,,,
,4.26.2018,128,AS,53,62,11:20,0,EC,420,,3,1,,,,,,,,
,4.26.2018,129,EC,42,11,11:20,0,AS,420,,3,,,,,,,,,
,4.26.2018,130,HH,26,1,11:33,90,EC,530,,,2,,,,,,,,
,4.26.2018,131,LT,180,50,12:02,180,LT,180,1,,,,,,,,,,
,4.26.2018,132,EC,64,192,12:13,320,AS,380,,,,,,,,,,,
,4.26.2018,133,LT,165,96,12:32,450,LT,450,,,,,,,,,,,
,4.26.2018,134,AS,45,47,12:45,320,SC,550,,,,,,,,,,,
,4.26.2018,135,SM,65,12,1:01,65,SM,535,,1,,,3,,,,,,
,4.27.2018,136,AS,48,40,10:38,0,SC,2720,,3,,,,1,,,,,
,4.27.2018,137,SC,54,3,10:38,0,AS,2720,,4,,,,,,,,,
,4.27.2018,138,SC,46,10,10:54,25,AS,2560,,2,,,,1,,,,,
,4.27.2018,139,SC,58,8,10:54,110,SC,NA,,1,,,,2,,,,,
,4.27.2018,140,PP,22,1,11:19,16,SC,NA,,,,,,,,,,,
,4.27.2018,141,AS,54,80,11:19,200,AS,2810,,1,,,,,,,,,
,4.27.2018,142,AS,22,155,11:40,140,SM,205,1,3,,,1,,,,,,
,4.27.2018,143,EC,60,375,,105,AS,285,2,5,,,1,,,,,,
,4.27.2018,144,HH,44,6,12:09,130,EC,303,,,2,,,,,,,,
,4.27.2018,145,LT,170,85,12:09,160,EC,630,,1,3,,,,,,,,
,4.27.2018,146,EC,58,46,12:09,0,LT,0,1,1,2,,,,,,,,
,4.27.2018,147,EC,56,240,12:26,30,EC,260,2,,1,,,,,,,,
,4.27.2018,148,EC,62,225,12:26,15,EC,260,1,,1,,,,,,,,
,4.27.2018,149,LT,210,151,12:47,300,LT,300,2,,,,,,,,,,
,4.27.2018,150,AS,53,45,12:47,270,AS,603,,1,,,,,,,,,
,4.27.2018,151,LT,135,87,1:14,70,AS,170,1,1,1,,,,,,,,
,4.27.2018,152,SC,66,10,1:14,0,EC,257,1,1,2,,,,,,,,
,4.27.2018,153,EC,58,92,2:00,60,AS,320,,4,1,,,,,,,,
,4.27.2018,154,AS,34,38,2:00,147,EC,442,,1,2,,,,,,,,
,4.27.2018,155,LT,130,39,2:19,150,LT,150,2,,,,,,,,,,
,4.27.2018,156,SC,66,15,2:19,68,AS,115,1,1,,,,,,,,,
,4.27.2018,157,AS,51,22,2:36,125,LT,650,,1,,,,,,,,,
,4.27.2018,158,AS,54,30,2:36,125,AS,536,,1,,,,,,,,,
,4.27.2018,159,LT,230,160,3:00,70,AS,550,,2,,,,,,,,,
,4.27.2018,160,SD,53,12,3:00,242,SD,1525,,2,,1,,,,,,,
,4.27.2018,161,SM,55,7,3:26,710,EL,3490,,,,,,,,,,,
,,162,EL,78,18,3:26,185,EL,3570,,,,,,,,,1,,
,4.28.2018,163,LT,250,119,10:21,60,LT,60,2,,,,,,,,,,
,4.28.2018,164,SC,54,10,10:21,443,LT,443,,,,,,,,,,,
,4.28.2018,165,AS,69,46,10:40,270,AS,980,,1,,,,,,,,,
,4.28.2018,166,AS,65,45,10:40,440,AS,630,,,,,,,,,,,
,4.28.2018,167,SC,67,15,10:57,140,SC,380,,1,,,,,,,,,
,4.28.2018,168,PP,38,9,10:57,149,AS,890,,2,,,,,,,,,
,4.28.2018,169,LT,185,69,11:16,135,LT,135,1,1,,,,,,,,,
,4.28.2018,170,AS,47,85,11:16,125,LT,125,2,1,,,,,,,,,
,4.28.2018,171,AS,43,11,11:38,20,LT,800,,2,,,,,,,,,
,4.28.2018,172,EC,49,225,11:38,149,SC,615,,,,,,1,,,,,
,4.28.2018,173,LT,165,112,11:57,570,LT,570,,,,,,,,,,,
,4.28.2018,174,LT,122,105,11:57,179,SC,570,,,,,,1,,,,,
,4.28.2018,175,SC,66,4,12:14,0,AS,330,,2,,,,,,,,,
,4.28.2018,176,AS,37,24,12:14,0,SC,330,,1,,,,1,,,,,
,4.28.2018,177,AS,68,130,12:14,74,AS,348,,6,,,,,,,,,
,4.28.2018,178,SC,45,5,12:37,20,AS,360,,2,1,,,,,,,,
,4.28.2018,179,EC,30,175,12:37,10,LT,10,4,,,,,,,,,,
,4.28.2018,180,SC,50,4,1:34,190,SC,230,,,,,,1,,,,,
,4.28.2018,181,PP,16,1,1:34,60,AS,245,,,2,,,,,,,,
,4.28.2018,182,LT,220,177,1:49,270,PP,470,,,,,,,1,,,,
,4.28.2018,183,SM,100,22,2:05,30,SM,800,,,,,12,,,,,,
,4.28.2018,183,AS,49,52,1:49,39,AS,404,,3,,,,,,,,,
,4.28.2018,184,SC,70,7,2:05,230,AS,842,,3,,,,,,,,,
,4.28.2018,185,AS,56,14,2:22,190,AS,1970,,1,,,,,,,,,
,4.28.2018,186,SC,45,7,2:22,165,AS,2110,,2,,,,,,,,,
,4.28.2018,187,EC,50,190,2:41,0,AS,160,1,3,2,,,,,,,,
,4.28.2018,188,AS,81,80,2:42,167,SC,2330,,1,,,,1,,,,,
,4.28.2018,189,EC,60,130,2:58,30,LT,30,1,,2,,,,,,,,
,4.28.2018,190,EC,43,110,2:58,20,LT,20,1,1,,,,,,,,,
,4.28.2018,191,EC,60,58,3:16,80,LT,80,1,,,,,,,,,,
,4.28.2018,192,EC,53,360,3:16,95,EC,350,1,,2,,,,,,,,
,4.28.2018,193,LT,205,89,3:35,100,LT,110,1,1,,,,,,,,,
