Site,Waypoint,Species,Height,N.flowers,Time,NN,NN.id,dist.lar,LT,AS,EC,SD,SM,SC,PP,HH,EL,LOTUS,BW
low,1,PP,20,5,,450,AS,2330,,,,,,,,,,,
low,2,PP,19,11,,1110,HH,1220,,,,,,,,,,,
,2,PP,20,5,11:35,250,AS,1220,,,,,,,,,,,
low,3,LT,185,45,,95,LT,95,1,,,,,,,1,,,
low,4,HH,25,2,,275,LT,275,,,,,,,,,,,
low,5,LT,175,72,,160,LT,160,2,,,,,,,,,,
low,6,LT,125,73,11:34,130,LT,130,1,2,,,,,,,,,
low,7,AS,49,4,11:48,55,AS,810,,,,,,,,,,,
low,8,AS,39,9,12:08,575,EC,725,,,,,,,,,,,
low,9,PP,24,2,12:20,30,PP,560,,,1,,,,1,,,,
low,10,EC,46,264,12:38,270,EC,690,,,1,,,,,,,,
low,11,EC,55,135,1:09,150,EC,630,,,4,,,,,,,,
low,12,EC,57,185,,120,EC,390,,1,3,,,,,,,,
low,13,LT,275,131,,100,LT,100,1,,3,,,,,,,,
low,14,AS,35,4,2:09,200,AS,970,,1,,,,,,,,,
low,15,PP,18,2,2:38,310,EL,1240,,,,,,,,,,,
up,16,SD,38,12,3:04,68,SD,5780,,,,1,,,,,,,
up,17,PP,29,2,,600,EC,17165,,,,,,,,,,,
up,18,PP,28,3,3:37,1810,PP,20880,,,,,,,,,,,
up,19,EL,75,24,3:59,595,PP,38845,,,,,,,,,,,
up,20,EL,68,27,4:16,145,EC,38845,,,,,,,,,3,,
up,21,PP,22,1,9:01,100,PP,20880,,,,,,,1,,,,
up,22,AS,56,82,9:16,965,PP,missing,,,,,,,,,,,
up,23,EC,45,180,,230,EC,15090,,,1,,,,,,,,
up,24,PP,30,2,9:55,495,SD,15500,,,,,,,,,,,
low,25,SD,50,29,10:18,285,SD,520,,,,1,,,,,,,
low,26,AS,54,56,10:35,245,AS,1100,,2,,,,,,,,,
low,27,PP,32,3,10:50,170,AS,2430,,2,,,,,,,,,
low,28,EL,56,117,11:04,160,AS,2570,,2,,,,,,,,,
low,29,AS,49,29,11:19,690,AS,2250,,1,,,,,,,,,
low,30,LT,165,46,11:33,80,LT,80,2,,,,,,,,,,
low,31,PP,28,7,11:57,230,AS,570,,4,,,,,,,,,
low,32,AS,4,9,12:10,40,AS,680,,4,,,,,,,,,
low,33,LT,290,120,12:25,75,LT,75,1,,,,,,,,,,
low,34,EC,39,38,12:47,90,AS,450,,1,,,,,,,,,
low,35,LT,155,44,12:58,160,AS,685,,1,,,,,,,,,
low,36,EC,47,20,1:28,200,AS,990,,1,1,,,,,,,,
low,37,AS,40,12,1:39,200,EC,1180,,,1,,,,,,,,
low,38,LT,200,91,1:52,95,LT,95,2,,,,,,,,,,
low,39,AS,37,5,2:07,96,AS,135,1,2,,,,,,,,,
low,40,LT,190,76,2:19,0,AS,365,1,2,,,,,,,,,
low,41,EC,55,105,2:34,170,EC,595,,,1,,,,,,,,
low,42,EC,30,70,2:56,300,LT,300,1,,,,,,,,,,
low,43,EC,46,112,3:08,290,EC,590,,,3,,,,,,,,
LOW,44,AS,60,16,3:35,360,EC,490,,,,,,,,,,,
UP,45,EC,59,64,3:57,105,SD,11050,,,,1,2,,,,,,
UP,46,SM,60,46,4:08,430,EC,11170,,,,,,,,,,,
UP,47,AS,57,90,9:23,870,PP,19825,,,,,,,,,,,
UP,48,SD,54,11,9:52,52,SD,8200,,,,8,,,,,,,
UP,49,SD,60,12,10:01,20,SD,missing,,,,2,,,,,,,
UP,50,SM,70,24,10:16,35,SM,5560,,,,3,5,,,,,,
UP,51,SM,64,19,10:31,35,SM,5350,,,,2,,,,,,,
UP,52,SD,83,97,10:43,115,SD,4690,,,,3,4,,,,,,
,53,PP,34,3,11:03,5,SM,missing,,,,,2,,,,,1,
low,54,AS,52,49,11:15,166,AS,1010,,3,,,,,,,,,
low,55,PP,23,1,11:51,200,LT,200,,,,,,,,,,,
low,56,AS,62,33,12:07,20,AS,980,,3,,,,,,,,,
low,57,LT,250,94,12:20,470,AS,,,,,,,,,,,,
low,58,LT,160,53,12:33,340,AS,810,,,,,,,,,,,
low,59,EC,40,103,1:11,290,LT,290,1,,,,,,,,,,
low,60,AS,42,9,1:22,415,EC,750,,,,,,,,,,,
low,61,LT,170,90,1:42,570,LT,570,,,,,,,,,,,
low,62,LT,150,55,1:53,410,LT,410,,,,,,,,,,,
low,63,X,47,4,2:11,155,LT,155,2,,,,,,,,,,
low,64,AS,43,27,2:22,60,LT,60,1,,,,,,,,,,
low,65,EC,48,175,2:40,550,LT,550,,,,,,,,,,,
low,66,EC,44,84,2:52,120,EC,170,1,,3,,,,,,,,
low,67,EC,39,120,3:06,230,EC,860,,,1,,,,,,,,
low,68,LT,105,20,3:21,180,EC,580,,,1,,,,,,,,
UP,69,SM,60,11,3:57,115,SM,31260,,,,,2,,1,,,,
UP,70,PP,29,25,8:59,160,SM,31315,,,,,3,,,,,,
UP,71,AS,67,75,9:17,80,SM,36770,,2,,,1,,,,,,
UP,72,PP,19,5,9:31,55,SM,36290,,,,,2,,,,,,
UP,73,AS,60,34,9:43,130,AS,37060,,1,,,,,,,,,
UP,74,PP,35,16,9:58,160,AS,35400,,1,,,,,,,,,
UP,75,S,72,24,10:12,240,SM,28755,,,,,2,,,,,,
UP,76,SD,55,30,10:34,210,SD,5350,,,,1,,,,,,,
,77,PP,19,1,10:51,0,AS,980,,3,,,,,,,,,
,78,AS,30,25,11:07,0,PP,980,,2,,,,,1,,,,
,79,AS,58,83,11:24,,,,,,,,,,,,,,
,80,PP,23,1,11:39,90,AS,1190,,5,,,,,,,,,
,81,SM,100,21,,75,AS,420,,2,,,,,,,,,
,82,LT,220,233,12:33,50,AS,530,,2,,,,,,,,,
,83,AS,45,32,12:33,60,AS,620,,2,,,,,,,,,
,84,AS,55,13,12:51,60,AS,525,,3,,,,,,,,,
,85,LT,245,127,1:13,830,LT,830,,5,,,,,,,,,
,86,LT,115,135,,80,AS,1050,,3,,,,,,,,,
,87,SC,70,12,1:53,230,AS,1780,,1,,,,,,,,,
,88,SC,70,9,2:20,230,AS,2500,,2,,,,,,,,,
,89,AS,50,21,2:36,240,SC,640,,2,,,,1,,,,,
,90,EC,50,360,2:55,220,EC,1550,,,8,,,,,,,,
,91,EC,55,175,,160,EC,260,1,1,2,,,,,,,,
,92,LT,270,98,3:31,260,EC,910,,,3,,,,,,,,
,93,SC,57,17,3:51,190,SM,2000,,,1,,1,,,,,,
,94,EC,60,275,,200,EC,1030,,,1,,,,,,,,
,95,PP,20,10,,0,LT,0,0,,1,,,,,,,,
,96,LT,170,102,,0,PP,90,2,,1,,,,1,,,,
,97,PP,22,4,9:30,300,AS,1600,,1,,,,,,,,,
,98,AS,64,17,9:43,300,PP,1390,,,,,,,1,,,,
,99,PP,24,2,9:57,58,AS,2310,,5,,,,,,,,,
,100,AS,38,6,9:57,88,PP,2400,,3,,,,,1,,,,
,101,LT,285,146,,170,PP,650,,1,,,,,1,,,,
,102,PP,19,2,10:32,90,AS,150,1,1,,,,,,,,,
,103,AS,65,53,10:58,30,AS,440,,4,,,,,,,,,
,104,EC,32,28,11:28,330,EC,880,,,,,,,,,,,
,105,LT,136,36,11:42,180,LT,180,2,,,,,,,,,,
,106,EC,38,200,,370,LT,370,,,,,,,,,,,
,107,EC,35,34,12:13,230,EC,245,1,,2,,,,,,,,
,108,AS,140,31,12:31,140,AS,180,,1,,,,,,,,,
,109,LT,200,151,12:56,120,LT,120,1,,,,,,,,,,
,110,EC,58,150,1:13,250,LT,250,,,3,,,,,,,,
,111,EC,56,109,1:33,810,LT,810,,,,,,,,,,,
,112,SC,55,3,1:50,520,AS,680,,,,,,,,,,,
,113,AS,52,49,,530,LT,530,,1,,,,,,,,,
,114,SC,39,3,2:30,190,LT,190,1,2,,,,,,,,,
,115,SC,46,3,2:42,110,SM,610,,,,1,1,,,,,,
UP,116,SD,39,41,3:17,50,SD,6740,,,,2,,,,,,,
UP,117,SM,70,42,3:34,80,SM,5005,,,,,1,,,,2,,
,118,LT,195,130,3:47,1470,LT,1470,,,,,,,,,,,
,119,SC,46,7,4:01,50,AS,1800,,2,,,,,,,,,
,120,AS,35,16,4:21,160,LT,160,1,,,,,,,,,,
,121,PP,18,2,9:09,245,LT,245,2,,,,1,,,,,,
,122,PP,27,2,9:24,140,AS,390,,2,,,,,1,,,,
,123,AS,50,71,9:47,125,AS,730,,1,,,,,1,,,,
,124,PP,28,3,10:05,300,LT,560,,2,,,,,,,,,
,125,SC,52,3,10:21,50,AS,1000,,1,,,,,,,,,
,126,SC,42,7,10:41,800,AS,800,,1,,,,,,,,,
,127,LT,190,156,11:02,30,AS,630,,1,,,,,,,,,
,128,AS,53,62,11:20,0,EC,420,,3,1,,,,,,,,
,129,EC,42,11,11:20,0,AS,420,,3,,,,,,,,,
,130,HH,26,1,11:33,90,EC,530,,,2,,,,,,,,
,131,LT,180,50,12:02,180,LT,180,1,,,,,,,,,,
,132,EC,64,192,12:13,320,AS,380,,,,,,,,,,,
,133,LT,165,96,12:32,450,LT,450,,,,,,,,,,,
,134,AS,45,47,12:45,320,SC,550,,,,,,,,,,,
,135,SM,65,12,1:01,65,SM,535,,1,,,3,,,,,,
,136,AS,48,40,10:38,0,SC,2720,,3,,,,1,,,,,
,137,SC,54,3,10:38,0,AS,2720,,4,,,,,,,,,
,138,SC,46,10,10:54,25,AS,2560,,2,,,,1,,,,,
,139,SC,58,8,10:54,110,SC,NA,,1,,,,2,,,,,
,140,PP,22,1,11:19,16,SC,NA,,,,,,,,,,,
,141,AS,54,80,11:19,200,AS,2810,,1,,,,,,,,,
,142,AS,22,155,11:40,140,SM,205,1,3,,,1,,,,,,
,143,EC,60,375,,105,AS,285,2,5,,,1,,,,,,
,144,HH,44,6,12:09,130,EC,303,,,2,,,,,,,,
,145,LT,170,85,12:09,160,EC,630,,1,3,,,,,,,,
,146,EC,58,46,12:09,0,LT,0,1,1,2,,,,,,,,
,147,EC,56,240,12:26,30,EC,260,2,,1,,,,,,,,
,148,EC,62,225,12:26,15,EC,260,1,,1,,,,,,,,
,149,LT,210,151,12:47,300,LT,300,2,,,,,,,,,,
,150,AS,53,45,12:47,270,AS,603,,1,,,,,,,,,
,151,LT,135,87,1:14,70,AS,170,1,1,1,,,,,,,,
,152,SC,66,10,1:14,0,EC,257,1,1,2,,,,,,,,
,153,EC,58,92,2:00,60,AS,320,,4,1,,,,,,,,
,154,AS,34,38,2:00,147,EC,442,,1,2,,,,,,,,
,155,LT,130,39,2:19,150,LT,150,2,,,,,,,,,,
,156,SC,66,15,2:19,68,AS,115,1,1,,,,,,,,,
,157,AS,51,22,2:36,125,LT,650,,1,,,,,,,,,
,158,AS,54,30,2:36,125,AS,536,,1,,,,,,,,,
,159,LT,230,160,3:00,70,AS,550,,2,,,,,,,,,
,160,SD,53,12,3:00,242,SD,1525,,2,,1,,,,,,,
,161,SM,55,7,3:26,710,EL,3490,,,,,,,,,,,
,162,EL,78,18,3:26,185,EL,3570,,,,,,,,,1,,
,163,LT,250,119,10:21,60,LT,60,2,,,,,,,,,,
,164,SC,54,10,10:21,443,LT,443,,,,,,,,,,,
,165,AS,69,46,10:40,270,AS,980,,1,,,,,,,,,
,166,AS,65,45,10:40,440,AS,630,,,,,,,,,,,
,167,SC,67,15,10:57,140,SC,380,,1,,,,,,,,,
,168,PP,38,9,10:57,149,AS,890,,2,,,,,,,,,
,169,LT,185,69,11:16,135,LT,135,1,1,,,,,,,,,
,170,AS,47,85,11:16,125,LT,125,2,1,,,,,,,,,
,171,AS,43,11,11:38,20,LT,800,,2,,,,,,,,,
,172,EC,49,225,11:38,149,SC,615,,,,,,1,,,,,
,173,LT,165,112,11:57,570,LT,570,,,,,,,,,,,
,174,LT,122,105,11:57,179,SC,570,,,,,,1,,,,,
,175,SC,66,4,12:14,0,AS,330,,2,,,,,,,,,
,176,AS,37,24,12:14,0,SC,330,,1,,,,1,,,,,
,177,AS,68,130,12:14,74,AS,348,,6,,,,,,,,,
,178,SC,45,5,12:37,20,AS,360,,2,1,,,,,,,,
,179,EC,30,175,12:37,10,LT,10,4,,,,,,,,,,
,180,SC,50,4,1:34,190,SC,230,,,,,,1,,,,,
,181,PP,16,1,1:34,60,AS,245,,,2,,,,,,,,
,182,LT,220,177,1:49,270,PP,470,,,,,,,1,,,,
,183,SM,100,22,2:05,30,SM,800,,,,,12,,,,,,
,183,AS,49,52,1:49,39,AS,404,,3,,,,,,,,,
,184,SC,70,7,2:05,230,AS,842,,3,,,,,,,,,
,185,AS,56,14,2:22,190,AS,1970,,1,,,,,,,,,
,186,SC,45,7,2:22,165,AS,2110,,2,,,,,,,,,
,187,EC,50,190,2:41,0,AS,160,1,3,2,,,,,,,,
,188,AS,81,80,2:42,167,SC,2330,,1,,,,1,,,,,
,189,EC,60,130,2:58,30,LT,30,1,,2,,,,,,,,
,190,EC,43,110,2:58,20,LT,20,1,1,,,,,,,,,
,191,EC,60,58,3:16,80,LT,80,1,,,,,,,,,,
,192,EC,53,360,3:16,95,EC,350,1,,2,,,,,,,,
,193,LT,205,89,3:35,100,LT,110,1,1,,,,,,,,,
,194,SC,68,2,3:35,120,SM,149,3,,1,,1,,,,,,
,195,SD,78,23,3:58,120,SM,2080,,,,,1,,,,,,
,196,SC,72,9,3:58,163,SC,1100,,,,1,,1,1,,,,
,197,AS,48,36,10:56,65,AS,444,,6,,,,,,,,,
,198,SC,73,2,10:56,70,AS,310,,9,,,,,,,,,
,199,LT,185,55,11:17,65,AS,460,,1,,,,1,,,,,
,200,AS,42,39,11:17,83,AS,398,,3,,,,,,,,,
,201,SM,80,20,11:32,30,SM,845,,,,,11,,,,,,1
,202,SC,48,9,11:32,192,LT,192,1,,,,,,,,,,
,203,BW,61,150,11:49,133,SC,3090,,1,,,,1,,,,,
,204,AS,66,12,11:49,40,AS,3180,,2,,,,,,,,,
,205,AS,68,29,11:49,40,AS,3230,,2,,,,,,,,,
,206,EC,54,90,12:06,2,EC,4920,,,3,,,,,,,,
,207,SC,32,7,12:06,200,AS,3595,,,,,,,,,,,
,208,PP,38,6,12:22,125,SM,2755,,,,,4,,,,,,1
,209,SM,65,32,12:22,30,SM,3320,,1,1,,9,,,,,,
,210,SC,78,14,12:43,70,AS,510,,2,,,,,,,,,
,211,LT,275,165,12:43,0,AS,310,,2,,,,1,,,,,
,212,AS,54,80,1:21,38,AS,47,2,4,,,,,,,,,
,213,SC,55,7,1:21,0,AS,555,,3,,,,,,,,,
,214,LT,90,10,1:38,0,EC,305,,3,1,,,,,,,,
,215,EC,49,34,1:38,0,LT,0,1,3,,,,,,,,,
,216,AS,52,145,1:38,10,AS,120,2,3,1,,,,,,,,
,217,AS,43,100,1:38,10,AS,124,2,,1,,,,,,,,
,218,EC,64,115,1:54,53,AS,455,,4,,,,,,,,,
,219,LT,210,77,1:54,55,AS,420,,2,1,,,,,,,,
,220,AS,63,165,2:09,38,AS,525,,1,,,,,,,,,
,221,LT,120,58,2:09,70,LT,70,1,,,,,,,,,,
,222,EC,43,60,2:24,210,EC,705,,,2,,,,,,,,
,223,EC,65,120,2:29,135,EC,575,,,2,,,,,,,,
,224,SC,52,7,2:46,116,AS,506,,1,,,,,,,,,
,225,LT,195,70,2:46,0,LT,0,2,,,,,1,,,,,
,226,AS,58,160,3:01,93,AS,448,,1,,,,1,,,,,
,227,EC,50,240,3:01,95,AS,450,,1,1,,,,,,,,
,228,SC,62,9,3:17,13,LT,13,3,,,,,,,,,,
,229,LT,103,120,3:17,13,SC,156,2,,,,,1,,,,,
,230,EC,49,200,3:17,20,AS,295,,1,,,,,,,,,
,231,AS,49,18,3:17,20,EC,275,,,2,,,,,,,,
,232,SC,54,8,3:39,227,SC,921,,,,,,1,,,,,
,233,SC,43,8,3:39,640,SC,775,,,,,,,,,,,
,234,SC,52,4,3:55,171,LT,171,1,,,,,,,,,,2
,235,BW,34,4,3:55,45,AS,615,,2,,,,,,,,,
,236,SC,52,19,9:44,400,AS,920,,1,,,,,,,,,
,237,SM,70,27,9:59,30,EL,2980,,,,,,,,,1,,
,238,SC,52,4,10:13,270,SC,1250,,,,,,1,,,,,
,239,EC,36,15,10:23,425,SC,990,,,,,,,,,,,
,240,LT,230,84,10:46,210,AS,520,,1,,,,,,,,,
,241,EC,53,41,10:59,95,EC,830,,,1,,,,,,,,
,242,LT,145,49,11:14,170,LT,170,1,,,,,,,,,,
,243,BW,45,2,11:28,350,LT,350,,,,,,,,,,,
,244,SC,45,6,11:40,900,LT,900,,,,,,1,,,,,
,245,AS,55,49,11:55,670,LT,670,,,,,,,,,,,
,246,SC,52,6,12:10,340,LT,340,,,,,,,,,,,
,247,AS,55,89,12:46,140,AS,410,,1,,,,1,,,,,
,248,SC,88,23,1:01,100,AS,150,1,1,,,,,,,,,
,249,AS,62,31,1:19,70,AS,308,1,2,,,,,,,,,
,250,LT,225,320,1:32,0,AS,365,,2,,,,,,,,,
,251,AS,45,39,1:47,365,AS,580,,,,,,,,,,,
,252,EC,36,42,2:05,160,EC,4290,,,1,,,,,,,,
,253,SD,45,12,2:22,260,SD,4620,,,,1,,,,,,,
,254,BW,49,6,2:38,180,SD,3860,,,,1,,,,,,,
,255,SD,75,26,2:50,180,BW,3490,,,,,,,,,,,1
,256,SC,47,3,3:04,765,SD,3090,,,,,,,,,,,
,257,SD,40,19,3:18,320,SD,3615,,,,,,,,,,,
,258,EC,75,73,3:33,320,EC,520,,,1,,,,,,,,
,259,LT,215,93,3:49,245,EC,360,,,1,,,,,,,,
,260,BW,30,5,4:02,140,AS,670,,1,,,,,,,,,
,261,AS,40,41,9:41,335,AS,2000,,,,,,,,,,,
,262,SM,90,31,9:59,45,SM,1860,,,,,4,,,,,,
,263,BW,55,62,10:22,210,SC,2050,,,,,,1,,,,,
,264,EC,48,43,10:38,90,EC,730,,,2,,,,,,,,
,265,LT,150,146,10:55,155,LT,155,1,,,,,,,,,,
,266,SC,36,4,11:03,420,LT,420,,,,,,,,,,,
,267,AS,34,25,11:18,300,LT,300,1,,,,,,,,,,
,268,SC,65,11,11:35,120,LT,120,1,1,,,,,,,,,
,269,SC,46,18,11:50,90,AS,missing,,2,,,,,,,,,
,270,AS,50,24,12:06,35,SC,380,,,,,,1,,,,,
,271,LT,230,312,12:17,0,LT,0,1,,,,,,,,,,
,272,HH,25,2,1:01,1810,SC,3230,,,,,,,,,,,
,273,AS,53,34,1:18,430,AS,2630,,,,,,,,,,,
,274,SC,55,17,1:33,450,SC,2105,,,,,,,,,,,
,275,LT,275,351,1:50,360,AS,810,,,,,,,,,,,
,276,LT,155,105,2:10,410,LT,410,,,,,,,,,,,
,277,AS,50,51,2:23,120,AS,650,,3,,,,,,,,,
,278,LT,145,63,2:42,30,SC,510,,,,,,,,,,,
,279,EC,45,23,2:57,220,LT,220,1,1,,,,,,,,,
,280,EC,58,26,3:18,280,SC,660,,,,,,2,,,,,
,281,EC,46,95,3:30,120,LT,120,1,,1,,,,,,,,
,282,KE,45,74,3:43,215,AS,330,,2,1,,,,,,,,
,283,AS,50,68,3:56,30,AS,90,1,,,,,,,,,,
,284,AS,36,14,3:56,30,AS,110,1,,,,,,,,,,
,285,SC,55,16,4:08,490,SC,700,,,,,,,,,,,
,286,LT,185,93,4:22,10,SC,650,,,,,,1,,,,,
,287,AS,48,28,10:10,60,AS,175,1,2,,,,1,,,,,
,288,SC,59,4,10:29,0,AS,410,,2,,,,,,,,,
,289,AS,44,12,10:29,0,SC,410,,1,,,,1,,,,,
,290,LT,150,125,10:40,140,AS,200,1,2,,,,,,,,,
,291,AS,63,41,10:58,290,AS,670,,1,,,,,,,,,
,292,SC,70,4,11:14,560,LT,560,,,,,,,,,,,
,293,EC,25,11,11:30,100,AS,135,1,1,,,,,,,,,
,294,LT,150,123,11:48,30,LT,30,3,,,,,,,,,,
,295,LT,310,343,12:17,0,LT,0,2,,,,,,,,,,
,296,SC,68,10,12:31,150,SC,220,1,1,,,,1,,,,,
,297,AS,49,21,1:15,135,LT,135,1,1,,,,,,,,,
,298,SC,39,2,1:29,0,AS,400,,1,,,,,,,,,
,299,AS,33,33,1:29,0,SC,400,,,,,,2,,,,,
,300,BW,45,4,1:45,185,AS,2475,,3,,,,,,,,,
,301,BW,50,39,1:59,110,BW,3395,,,,,,,,,,,1
,302,LT,105,49,2:19,150,LT,150,1,1,,,,1,,,,,
,303,SC,56,12,2:31,0,AS,300,1,3,,,,,,,,,
,304,AS,41,16,2:34,0,SC,300,1,2,,,,1,,,,,
,305,BW,48,20,2:51,45,BW,1100,,,,,1,,,,,,2
,306,LT,145,47,3:12,490,LT,490,,,,,,,,,,,
,307,EC,52,87,3:28,50,AS,570,,1,,,,2,,,,,
,308,BW,30,4,3:47,230,LT,230,1,1,,,,,,,,,
,309,LT,140,38,4:00,120,LT,120,1,1,,,,,,,,,1
,310,BW,52,19,4:13,300,LT,300,,2,,,,,,,,,
,311,SC,59,11,4:30,120,LT,120,,2,,,,,,,,,
,312,SC,45,5,10:37,105,AS,1430,,1,,,,,,,,,
,313,AS,40,43,10:50,450,AS,2030,,,,,,,,,,,
,314,SC,59,8,11:04,320,LT,320,,,,,,,,,,,
,315,LT,155,170,11:20,100,SC,640,,,,,,1,,,,,
,316,AS,56,79,11:37,95,AS,250,1,1,,,,,,,,,
,317,AS,40,55,11:37,95,AS,360,,6,,,,,,,,,
,318,BW,46,4,11:53,365,LT,365,,,,,,,,,,,
,319,LT,240,209,12:06,170,LT,170,2,,,,,,,,,,
,320,BW,48,8,12:24,350,BW,675,,,,,,,,,,,
,321,LT,140,110,12:42,990,LT,990,,,,,,,,,,,
,322,SC,63,5,12:59,0,LT,0,3,,,,,1,,,,,
,323,AS,49,85,1:13,105,AS,115,3,1,,,,,,,,,
,324,AS,45,36,1:52,270,AS,280,1,1,,,,,,,,,
,325,LT,200,173,2:04,160,AS,80,,2,,,,,,,,,
,326,SC,85,18,2:20,260,SC,470,,,,,,1,,,,,
,327,AS,62,38,2:38,160,SC,missing,,,,,,1,,,,,
,328,SC,52,11,2:56,280,LT,280,1,,,,,,,,,,
,329,BW,46,10,3:11,65,AS,830,,1,,,,,,,,,1
,330,AS,59,24,3:11,65,BW,760,,,,,,,,,,,2
,331,BW,38,4,3:26,200,LT,200,,1,,,,,,,,,1
,332,LT,245,111,3:38,370,LT,370,,,,,,,,,,,
,333,BW,50,4,3:53,200,AS,230,1,1,,,,,,,,,
,334,EC,32,90,4:05,300,SC,770,,,,,,1,,,,,
,335,SC,69,2,4:26,750,BW,2760,,,,,,,,,,,
,336,BW,37,8,10:04,285,AS,565,,2,,,,,,,,,
,337,AS,54,26,10:15,56,AS,420,,1,,,,,,,,,
,338,BW,44,23,10:28,100,AS,770,,2,,,,,,,,,1
,339,LT,210,210,10:52,160,AS,260,1,1,,,,,,,,,
,340,BW,33,5,11:07,70,BW,335,,,,,,,,,,,3
,341,SC,52,14,11:23,70,AS,70,1,3,,,,,,,,,
,342,AS,39,27,11:38,135,AS,400,,3,,,,,,,,,
,343,SC,40,7,11:57,280,AS,370,,1,,,,,,,,,
,344,AS,64,60,12:12,130,AS,450,,3,,,,,,,,,
,345,LT,200,229,12:50,125,AS,730,,1,,,,,,,,,
,346,AS,69,56,1:06,90,AS,470,,2,,,,,,,,,
,347,AS,40,10,1:06,90,AS,620,,2,,,,,,,,,
,348,SC,34,2,1:22,125,AS,510,,1,,,,,,,,,
,349,LT,280,170,1:39,400,LT,400,,,,,,,,,,,
,350,SC,68,23,1:59,1000,SC,missing,,,,,,,,,,,
,351,SC,53,11,2:18,340,LT,340,,,,,,,,,,,
,352,BW,50,9,2:34,20,LT,20,1,2,,,,,,,,,
,353,LT,250,153,2:49,20,BW,305,,1,,,,,,,,,1
,354,BW,36,7,3:02,35,BW,240,1,,,,,,,,,,2
,355,BW,39,4,3:02,35,BW,250,1,,,,,,,,,,2
,356,SC,34,5,3:20,180,LT,180,1,,,,,,,,,,1
,357,LT,270,154,3:37,405,LT,405,,,,,,,,,,,
,358,AS,46,46,3:49,135,AS,155,2,1,,,,,,,,,
,359,SC,76,6,4:06,150,LT,150,3,,,,,,,,,,
,360,LT,230,61,4:20,240,SC,560,,,,,,1,,,,,
,361,AS,54,43,9:55,125,AS,1310,,2,,,,,,,,,
,362,BW,36,8,10:15,250,SC,585,,,,,,1,,,,,
,363,SC,70,3,10:30,0,HH,410,,1,,,,1,,,,,
,364,HH,19,1,10:30,0,SC,410,,1,,,,,,1,,,
,365,BW,46,13,10:44,235,LT,235,1,,,,,,,,,,
,366,LT,225,175,10:59,130,LT,130,,,,,,1,,,,,5
,367,BW,54,19,11:16,25,SC,400,,,,,,,,,,,6
,368,SC,46,3,11:16,25,BW,470,2,1,,,,,,,,,
,369,AS,69,81,11:31,105,LT,105,1,1,,,,,,,,,1
,370,LT,270,301,11:44,105,AS,150,2,2,,,,,,,,,
,371,AS,59,35,12:04,95,AS,240,1,1,,,,,,,,,
,372,AS,56,63,12:04,95,AS,160,1,1,,,,,,,,,
,373,LT,135,87,12:48,155,AS,495,,1,,,,,,,,,
,374,SC,78,3,1:07,35,LT,315,,,,,,,,,,,
,375,BW,53,20,1:24,340,LT,340,,,,,,,,,,,
,376,EC,55,20,1:36,290,LT,290,1,,,,,,,,,,
,377,LT,177,122,1:49,140,LT,140,1,,1,,,,,,,,
,378,BW,42,16,2:12,110,LT,110,1,,,,,,,,,,2
,379,BW,54,27,2:32,265,LT,265,1,,,,,,,,,,1
,380,AS,48,25,2:51,240,LT,240,1,,,,,,,,,,
,381,AS,56,62,3:08,160,AS,160,1,3,,,,,,,,,
,382,SC,53,4,3:21,50,AS,400,,2,,,,,,,,,
,383,SC,52,3,3:34,205,LT,205,1,,,,,,,,,,
,384,LT,195,380,3:48,0,LT,0,1,1,,,,1,,,,,
,385,SC,39,3,4:02,205,LT,205,1,,,,,,,,,,
,386,AS,58,31,9:47,350,LT,350,,,,,,,,,,,
,387,LT,155,94,10:02,225,AS,730,,1,,,,,,,,,
,388,BW,39,3,10:16,115,AS,635,,1,,,,,,,,,
,389,AS,40,13,10:16,115,BW,510,,,,,,,,,,,1
,390,AS,33,31,10:39,660,AS,950,,,,,,,,,,,
,391,LT,220,198,10:58,50,LT,50,,,,,,,,,,,
,392,BW,34,5,11:14,75,BW,655,,,,,,,,,,,1
,393,LT,210,465,11:30,470,BW,485,,,,,,,,,,,
,394,BW,41,6,11:42,315,LT,315,,,,,,,,,,,
,395,LT,62,40,11:56,250,BW,685,,,,,,,,,,,3
